GeneSymbol_Mouse,GeneSymbol_Human,Source,Daneman_Filter
Fmo2,FMO2,Daneman,liver_only
Fndc3a,FNDC3A,Daneman,liver_only
Fndc4,FNDC4,Munji,NA
Fosb,FOSB,Munji,NA
Foxc1,FOXC1,Munji,NA
Foxf2,FOXF2,Munji,NA
Foxl2,FOXL2,Munji,NA
Foxn2,FOXN2,Daneman,liver_only
Foxo1,FOXO1,Daneman,liver_only
Foxo3,FOXO3,Munji,NA
Foxq1,FOXQ1,Munji,NA
Fpgt,FPGT,Daneman,liver_only
Frem2,FREM2,Munji,NA
Frmd4b,FRMD4B,Munji,NA
Frmd5,FRMD5,Munji,NA
Frmd6,FRMD6,Daneman,lung_only
Fry,FRY,Munji,NA
Fscn1,FSCN1,Daneman,lung_only
Fstl1,FSTL1,Daneman,liver_and_lung
Fuca1,FUCA1,Daneman,lung_only
Fuca2,FUCA2,Munji,NA
Fut8,FUT8,Munji,NA
Fxyd5,FXYD5,Daneman,liver_only
Fyco1,FYCO1,Both,liver_only
Fyn,FYN,Daneman,lung_only
Fzd4,FZD4,Daneman,liver_only
Fzd6,FZD6,Munji,NA
Gab1,GAB1,Munji,NA
Gabarapl1,GABARAPL1,Daneman,lung_only
Gadd45g,GADD45G,Daneman,liver_only
Galt,GALT,Daneman,lung_only
Gart,GART,Daneman,lung_only
Gas2l3,GAS2L3,Daneman,lung_only
Gas6,GAS6,Daneman,liver_only
Gata2,GATA2,Daneman,liver_only
Gbe1,GBE1,Munji,NA
Gbp2,GBP2,Daneman,liver_only
Gbp4,GBP6,Daneman,liver_only
Gch1,GCH1,Daneman,liver_only
Gcnt2,GCNT2,Daneman,liver_only
Gdi2,GDI2,Daneman,lung_only
Gdpd1,GDPD1,Daneman,lung_only
Gdpd3,GDPD3,Daneman,liver_only
Gdpd5,GDPD5,Daneman,lung_only
Gem,GEM,Daneman,lung_only
Gga2,GGA2,Daneman,lung_only
Gimap4,GIMAP4,Daneman,lung_only
Gimap8,GIMAP8,Daneman,liver_only
Gja1,GJA1,Daneman,lung_only
Gjb2,GJB2,Munji,NA
Glb1,GLB1,Both,lung_only
Glcci1,GLCCI1,Both,liver_only
Glrx2,GLRX2,Daneman,lung_only
Gls,GLS,Daneman,liver_only
Glt8d1,GLT8D1,Daneman,liver_only
Gltscr2,GLTSCR2,Daneman,lung_only
Glul,GLUL,Munji,NA
Gmfg,GMFG,Daneman,lung_only
Gmpr,GMPR,Daneman,lung_only
Gmps,GMPS,Daneman,lung_only
Gna12,GNA12,Daneman,lung_only
Gna13,GNA13,Daneman,lung_only
Gnai1,GNAI1,Daneman,lung_only
Gnb1,GNB1,Daneman,liver_and_lung
Gng12,GNG12,Daneman,lung_only
Gng7,GNG7,Munji,NA
Golga4,GOLGA4,Daneman,liver_only
Gorasp2,GORASP2,Daneman,lung_only
Gpam,GPAM,Daneman,lung_only
Gpcpd1,GPCPD1,Munji,NA
Gpd2,GPD2,Both,liver_only
Gpi1,GPI,Daneman,lung_only
Gpm6b,GPM6B,Daneman,lung_only
Gpr146,GPR146,Daneman,liver_only
Gpr155,GPR155,Daneman,liver_only
Gpr160,GPR160,Both,liver_only
Gpr4,GPR4,Munji,NA
Gpr56,GPR56,Daneman,liver_only
Gpr85,GPR85,Munji,NA
Gpr97,GPR97,Daneman,lung_only
Gprasp1,GPRASP1,Daneman,liver_only
Grasp,GRASP,Daneman,liver_only
Grb14,GRB14,Daneman,liver_only
Grb7,GRB7,Munji,NA
Grm3,GRM3,Daneman,liver_and_lung
Grp,GRP,Daneman,lung_only
Grtp1,GRTP1,Daneman,liver_and_lung
Gse1,GSE1,Munji,NA
Gsr,GSR,Daneman,liver_and_lung
Gstm7,GSTM2,Munji,NA
Gstm5,GSTM3,Daneman,lung_only
Gstm1,GSTM5,Daneman,liver_only
Gsto1,GSTO1,Daneman,lung_only
