Gene,Liver_nTPM,Brain_nTPM
SBDS,123.5,0
HDHD3,123.4,0
ZGPAT,123.4,0
ENSG00000272772,123.4,0
BBOX1,123.3,0
RND3,123.2,0
RAB17,123.1,0
LAMTOR1,123.1,0
UQCR11,123,0
MRPL53,122.8,0
PLGLB2,122.6,0
EIF3H,122.6,0
DHRS4L2,122.6,0
BCKDHA,122.5,0
LRP5,122.3,0
PHC2,122.2,0
MRPL24,122.1,0
TMEM208,122,0
DDX3X,122,0
LEPR,121.9,0
STBD1,121.8,0
SLC43A1,121.8,0
CD46,121.5,0
TLCD4,121.5,0
GTF3A,121.3,0
CCNG1,121.2,0
ADRM1,121.1,0
THBS1,121,0
OCIAD2,121,0
DHTKD1,121,0
RTKN,120.9,0
IL6ST,120.9,0
CTDSP1,120.7,0
MRPL54,120.7,0
CLPTM1,120.6,0
CLPP,120.5,0
HIBCH,120.4,0
NAT2,120.1,0
KDELR1,120,0
FLOT1,120,0
ISG15,120,0
HNRNPD,119.9,0
PDZK1,119.9,0
HNRNPA2B1,119.8,0
RND1,119.8,0
NINJ1,119.6,0
MLIP,119.5,0
TMED10,119.2,0
PUF60,119.2,0
S100A11,118.9,0
PSMB5,118.6,0
ABCD3,118.4,0
RAB5IF,118.3,0
SORBS3,118.1,0
DHRS4,117.8,0
MOCS2,117.8,0
RNF5,117.8,0
ANXA7,117.7,0
ATP6V1G1,117.6,0
CFL2,117.6,0
UBXN6,117.5,0
PDCD5,117.4,0
AQP3,117.4,0
SSU72,117.1,0
EID1,117,0
NFIL3,116.8,0
TRAP1,116.6,0
RNF128,116.5,0
