GeneSymbol_Mouse,GeneSymbol_Human,Source,Daneman_Filter,In_Walchli_EC,In_Yang_EC,In_Winkler_EC,Human_BBB_Datasets_N
Cp,CP,Daneman,liver_only,TRUE,TRUE,TRUE,3
Cpd,CPD,Daneman,liver_only,TRUE,FALSE,TRUE,2
Cpe,CPE,Daneman,lung_only,TRUE,FALSE,TRUE,2
Cpm,CPM,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1
Crem,CREM,Daneman,lung_only,TRUE,FALSE,TRUE,2
Crim1,CRIM1,Daneman,liver_only,TRUE,FALSE,TRUE,2
Crip1,CRIP1,Daneman,liver_only,TRUE,FALSE,TRUE,2
Crispld1,CRISPLD1,Daneman,liver_only,TRUE,FALSE,FALSE,1
Crispld2,CRISPLD2,Daneman,liver_and_lung,TRUE,FALSE,TRUE,2
Crk,CRK,Daneman,lung_only,TRUE,FALSE,FALSE,1
Crmp1,CRMP1,Daneman,lung_only,TRUE,FALSE,FALSE,1
Csf1,CSF1,Daneman,lung_only,TRUE,FALSE,FALSE,1
Csnk1a1,CSNK1A1,Daneman,liver_only,TRUE,FALSE,FALSE,1
Csnk1d,CSNK1D,Daneman,lung_only,TRUE,FALSE,FALSE,1
Csnk1g2,CSNK1G2,Daneman,lung_only,TRUE,FALSE,FALSE,1
Csnk2b,CSNK2B,Daneman,lung_only,TRUE,FALSE,FALSE,1
Cspg4,CSPG4,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1
Csrp1,CSRP1,Daneman,lung_only,TRUE,FALSE,TRUE,2
Csrp2,CSRP2,Daneman,lung_only,TRUE,FALSE,TRUE,2
Cstf2t,CSTF2T,Daneman,liver_only,TRUE,FALSE,FALSE,1
Ctdspl,CTDSPL,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1
Ctgf,CTGF,Daneman,liver_only,TRUE,FALSE,FALSE,1
Ctnnbl1,CTNNBL1,Daneman,lung_only,TRUE,FALSE,FALSE,1
Ctnnd2,CTNND2,Daneman,liver_only,TRUE,FALSE,FALSE,1
Ctsk,CTSK,Daneman,lung_only,TRUE,FALSE,FALSE,1
Ctsw,CTSW,Daneman,lung_only,TRUE,FALSE,FALSE,1
Cuedc1,CUEDC1,Daneman,liver_only,TRUE,FALSE,FALSE,1
Cwf19l2,CWF19L2,Daneman,liver_only,TRUE,FALSE,FALSE,1
Cx3cl1,CX3CL1,Daneman,liver_only,TRUE,FALSE,FALSE,1
Cxcl12,CXCL12,Both,liver_only,TRUE,FALSE,TRUE,2
Cxcl1,CXCL2,Daneman,lung_only,TRUE,FALSE,TRUE,2
Cxcl2,CXCL3,Daneman,lung_only,TRUE,FALSE,FALSE,1
Cxcr4,CXCR4,Daneman,lung_only,TRUE,FALSE,TRUE,2
Cxxc5,CXXC5,Daneman,lung_only,TRUE,FALSE,FALSE,1
Cyb561,CYB561,Daneman,liver_only,TRUE,FALSE,FALSE,1
Cyba,CYBA,Daneman,lung_only,TRUE,FALSE,FALSE,1
Cyp26b1,CYP26B1,Daneman,liver_only,TRUE,FALSE,FALSE,1
Cyp4v3,CYP4V2,Daneman,liver_only,TRUE,FALSE,FALSE,1
Cyr61,CYR61,Both,liver_only,TRUE,FALSE,FALSE,1
Daam1,DAAM1,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1
Daam2,DAAM2,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1
Dab2,DAB2,Daneman,lung_only,TRUE,FALSE,FALSE,1
Dab2ip,DAB2IP,Daneman,liver_only,TRUE,FALSE,TRUE,2
Dad1,DAD1,Daneman,lung_only,TRUE,FALSE,FALSE,1
Dagla,DAGLA,Munji,NA,TRUE,FALSE,FALSE,1
Dars,DARS,Daneman,lung_only,TRUE,FALSE,FALSE,1
Dbp,DBP,Daneman,liver_only,TRUE,FALSE,FALSE,1
Dcbld1,DCBLD1,Daneman,lung_only,TRUE,FALSE,FALSE,1
Dcbld2,DCBLD2,Daneman,liver_only,TRUE,FALSE,FALSE,1
Dck,DCK,Daneman,lung_only,TRUE,FALSE,FALSE,1
Dcun1d3,DCUN1D3,Both,liver_only,TRUE,FALSE,FALSE,1
Ddah2,DDAH2,Daneman,lung_only,TRUE,FALSE,FALSE,1
Ddc,DDC,Both,liver_only,TRUE,FALSE,FALSE,1
Ddi1,DDI1,Munji,NA,FALSE,FALSE,FALSE,0
Ddx1,DDX1,Daneman,lung_only,TRUE,FALSE,FALSE,1
Ddx19a,DDX19A,Daneman,lung_only,TRUE,FALSE,FALSE,1
Ddx39,DDX39A,Daneman,lung_only,TRUE,FALSE,FALSE,1
Def6,DEF6,Munji,NA,TRUE,FALSE,FALSE,1
Degs1,DEGS1,Daneman,lung_only,TRUE,FALSE,FALSE,1
Degs2,DEGS2,Both,liver_only,TRUE,FALSE,TRUE,2
Dennd2a,DENND2A,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1
Dera,DERA,Daneman,lung_only,TRUE,FALSE,FALSE,1
Dhcr7,DHCR7,Munji,NA,TRUE,FALSE,FALSE,1
Diap1,DIAPH1,Daneman,liver_only,TRUE,FALSE,FALSE,1
